,title_x,foreign_gross,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI,runtime_minutes,genres,averagerating,numvotes,popularity,release_date,release_month
881,Teenage Mutant Ninja Turtles: Out of the Shadows,163600000,135000000,82051601,245328374,110328374,81.72472148148148,112.0,"Action,Adventure,Comedy",6.0,77234.0,15.096,2016-06-03,June
882,Sully,115700000,60000000,125070033,238524556,178524556,297.5409266666667,96.0,"Biography,Drama",7.5,202718.0,18.148,2016-09-09,September
883,Hidden Figures,66300000,25000000,169607287,231771716,206771716,827.086864,127.0,"Biography,Drama,History",7.8,171131.0,14.751,2016-12-10,December
884,Inferno,185700000,75000000,34343574,219519367,144519367,192.69248933333333,100.0,Thriller,6.3,50.0,17.41,2016-10-28,October
885,Central Intelligence,89500000,50000000,127440871,217194805,167194805,334.38961,107.0,"Action,Comedy,Crime",6.3,138872.0,14.478,2016-06-17,June
886,Me Before You,152100000,20000000,56245075,208265198,188265198,941.32599,106.0,"Drama,Romance",7.4,174567.0,16.917,2016-06-03,June
887,London Has Fallen,143200000,60000000,62524260,195194085,135194085,225.32347499999997,99.0,"Action,Thriller",5.9,124757.0,15.287,2016-03-04,March
888,Arrival,102800000,47000000,100546139,203127894,156127894,332.1870085106383,116.0,"Drama,Mystery,Sci-Fi",7.9,515483.0,25.442,2016-11-11,November
889,Bad Moms,70700000,20000000,113257297,180998716,160998716,804.9935800000001,100.0,Comedy,6.2,100952.0,14.332,2016-07-29,July
890,Storks,110700000,70000000,72679278,183353431,113353431,161.93347285714285,87.0,"Adventure,Animation,Comedy",6.8,50448.0,12.101,2016-09-23,September
891,The BFG,127900000,140000000,55483770,199646680,59646680,42.60477142857143,117.0,"Adventure,Family,Fantasy",6.4,69340.0,20.08,2016-07-01,July
892,Hacksaw Ridge,108100000,40000000,67209615,168904682,128904682,322.261705,139.0,"Biography,Drama,History",8.1,366904.0,24.074,2016-11-04,November
893,Jack Reacher: Never Go Back,103400000,60000000,58697076,159946489,99946489,166.57748166666667,118.0,"Action,Thriller",6.1,121892.0,17.085,2016-10-21,October
894,The Accountant,68900000,40000000,86260045,152962083,112962083,282.4052075,128.0,"Action,Crime,Drama",7.3,233022.0,13.81,2016-10-14,October
895,Gods of Egypt,119500000,140000000,31153464,138836756,-1163244,-0.8308885714285714,127.0,"Action,Adventure,Fantasy",5.4,95111.0,18.517,2016-02-26,February
896,Sausage Party,43000000,19000000,97670358,141344255,122344255,643.9171315789474,89.0,"Adventure,Animation,Comedy",6.2,159111.0,15.232,2016-08-12,August
897,Lion,88600000,12000000,51739495,149570720,137570720,1146.4226666666666,118.0,"Biography,Drama",8.1,181601.0,17.216,2016-11-25,November
898,Mechanic: Resurrection,104500000,40000000,21218403,109738840,69738840,174.3471,98.0,"Action,Adventure,Thriller",5.7,67275.0,16.302,2016-08-26,August
899,Ride Along 2,33400000,40000000,90862685,124827316,84827316,212.06829,102.0,"Action,Comedy,Crime",5.9,48688.0,12.977,2016-01-15,January
900,Deepwater Horizon,60400000,156000000,61433527,122603824,-33396176,-21.40780512820513,107.0,"Action,Drama,History",7.1,133303.0,13.685,2016-09-30,September
901,Allied,79400000,106000000,40098064,119266661,13266661,12.515717924528303,124.0,"Action,Drama,Romance",7.1,125741.0,19.611,2016-11-23,November
902,The Shallows,64000000,13000000,55121623,118763442,105763442,813.5649384615384,86.0,"Drama,Horror,Thriller",6.3,106927.0,14.091,2016-06-24,June
903,The Purge: Election Year,39400000,10000000,79042440,118514727,108514727,1085.14727,108.0,"Action,Horror,Sci-Fi",6.0,80254.0,18.975,2016-07-01,July
