,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
316,Cedar Rapids,0,2011-02-11,10000000,6861102,7862131,-2137869,-21.37869
317,We Need to Talk About Kevin,4300000,2012-01-13,7000000,1738692,10765283,3765283,53.78975714285714
318,Attack the Block,4800000,2011-07-29,13000000,1024175,6459183,-6540817,-50.31397692307692
319,Dylan Dog: Dead of Night,3400000,2011-04-29,20000000,1186538,6093725,-13906275,-69.531375
320,Like Crazy,336000,2011-10-28,250000,3395391,3728400,3478400,1391.3600000000001
321,Martha Marcy May Marlene,548000,2011-10-21,1000000,2981038,5438911,4438911,443.8911
322,Fireflies in the Garden,3300000,2011-10-14,8000000,36884,3587191,-4412809,-55.160112500000004
323,Machine Gun Preacher,2800000,2011-09-23,30000000,538690,3721988,-26278012,-87.59337333333333
324,Take Shelter,1400000,2011-09-30,4750000,1728953,4972016,222016,4.674021052631579
325,Everything Must Go,0,2011-05-13,5000000,2712131,2821010,-2178990,-43.5798
326,Brighton Rock,1600000,2011-08-26,11000000,229653,229653,-10770347,-97.91224545454546
327,Another Earth,456000,2011-07-22,175000,1321194,2102779,1927779,1101.588
328,A Better Life,0,2011-06-24,10000000,1759252,1884251,-8115749,-81.15749
329,The Art of Getting By,0,2011-06-17,4000000,1430241,1989035,-2010965,-50.274125000000005
330,The Devil's Double,0,2011-07-29,19100000,1361512,5965646,-13134354,-68.76625130890052
331,Red State,0,2011-09-23,4000000,1065429,1983596,-2016404,-50.4101
332,There Be Dragons,0,2011-05-06,36000000,1069334,4020990,-31979010,-88.83058333333334
333,Meek's Cutoff,0,2011-04-08,2000000,977772,1869928,-130072,-6.5036
334,Submarine,397000,2011-06-03,1900000,467602,4581937,2681937,141.15457894736844
335,Higher Ground,0,2011-08-23,1800000,841056,842693,-957307,-53.183722222222215
336,POM Wonderful Presents: The Greatest Movie Ever Sold,0,2011-04-22,1800000,638476,783733,-1016267,-56.459277777777785
337,Blackthorn,423000,2011-10-07,4500000,200558,1217307,-3282693,-72.94873333333334
338,The Future,0,2011-07-29,1000000,568662,1239174,239174,23.9174
339,Dum Maaro Dum,0,2011-04-22,5200000,564489,11633427,6433427,123.71974999999999
340,Circumstance,0,2011-08-26,900000,454121,958978,58978,6.553111111111111
341,The Other Woman,427000,2014-04-25,40000000,83911193,195111193,155111193,387.7779825
342,Hesher,0,2011-05-13,7000000,382946,382946,-6617054,-94.52934285714286
343,Another Happy Day,347000,2011-11-18,4000000,9120,978527,-3021473,-75.536825
344,Super,0,2011-04-01,2500000,327716,593933,-1906067,-76.24268
345,Rubber,0,2011-04-01,500000,100370,680914,180914,36.1828
346,Beautiful Boy,0,2018-10-12,25000000,7634767,13031424,-11968576,-47.874304
347,Margaret,0,2011-09-30,14000000,47185,623292,-13376708,-95.54791428571428
348,Stake Land,0,2011-04-22,4000000,33245,679482,-3320518,-83.01294999999999
349,The Son of No One,0,2011-11-04,15000000,30680,1148578,-13851422,-92.34281333333332
350,5 Days of War,0,2011-08-19,12000000,17479,87793,-11912207,-99.26839166666667
351,Blood Ties,0,2014-03-21,26000000,42472,2923959,-23076041,-88.75400384615385
352,Skyfall,804200000,2012-11-08,200000000,304360277,1110526981,910526981,455.2634905
353,The Dark Knight Rises,636800000,2012-07-20,275000000,448139099,1084439099,809439099,294.3414905454545
354,The Hobbit: An Unexpected Journey,718100000,2012-12-14,250000000,303003568,1017003568,767003568,306.80142720000003
355,Ice Age: Continental Drift,715900000,2012-07-13,95000000,161321843,879765137,784765137,826.068565263158
356,The Amazing Spider-Man,495900000,2012-07-03,220000000,262030663,757890267,537890267,244.4955759090909
357,Madagascar 3: Europe's Most Wanted,530500000,2012-06-08,145000000,216391482,746921271,601921271,415.1181179310345
358,The Hunger Games,286400000,2012-03-23,80000000,408010692,677923379,597923379,747.40422375
359,Life of Pi,484000000,2012-11-21,120000000,124987022,620912003,500912003,417.42666916666667
360,Ted,330600000,2012-06-29,50000000,218665740,556016627,506016627,1012.0332539999999
361,Brave,303200000,2012-06-22,185000000,237282182,554606532,369606532,199.7873145945946
362,Wreck-It Ralph,281800000,2012-11-02,165000000,189412677,496511521,331511521,200.91607333333332
363,Django Unchained,262600000,2012-12-25,100000000,162805434,449948323,349948323,349.948323
364,Prometheus,276900000,2012-06-08,125000000,126477084,402448265,277448265,221.95861200000002
365,Snow White and the Huntsman,241300000,2012-06-01,170000000,155136755,401021746,231021746,135.89514470588236
366,Taken 2,236300000,2012-10-05,45000000,139854287,377807404,332807404,739.572008888889
367,Hotel Transylvania,210100000,2012-09-28,85000000,148313048,378505812,293505812,345.30095529411767
368,Journey 2: The Mysterious Island,231400000,2012-02-10,79000000,103860290,318146162,239146162,302.71666075949366
369,The Expendables 2,229900000,2012-08-17,100000000,85028192,311979256,211979256,211.979256
370,Rise of the Guardians,203500000,2012-11-21,145000000,103412758,306900902,161900902,111.65579448275862
371,Wrath of the Titans,221600000,2012-03-30,150000000,83670083,305270083,155270083,103.51338866666666
372,Battleship,237600000,2012-05-18,220000000,65233400,313477717,93477717,42.48987136363636
373,John Carter,211100000,2012-03-09,275000000,73058679,282778100,7778100,2.8284
374,The Bourne Legacy,162900000,2012-08-10,125000000,113203870,280355920,155355920,124.28473600000001
375,Lincoln,93100000,2012-11-09,65000000,182207973,273346281,208346281,320.53274
376,Dark Shadows,165800000,2012-05-11,150000000,79727149,238202668,88202668,58.80177866666667
377,Resident Evil: Retribution,197700000,2012-09-14,65000000,42345531,240647629,175647629,270.2271215384616
378,Silver Linings Playbook,104300000,2012-11-16,21000000,132092958,236412453,215412453,1025.7735857142857
379,American Reunion,178000000,2012-04-06,50000000,56758835,236799211,186799211,373.598422
380,Argo,96300000,2012-10-12,44500000,136025503,227140757,182640757,410.42866741573033
381,Jack Reacher,138300000,2012-12-21,60000000,80070736,217370736,157370736,262.28456
382,Safe House,81700000,2012-02-10,85000000,126181630,208542162,123542162,145.34372
383,21 Jump Street,63100000,2012-03-16,42000000,138447667,202812429,160812429,382.88673571428575
384,The Vow,71100000,2012-02-10,30000000,125014030,197618160,167618160,558.7271999999999
385,Mirror Mirror,118100000,2012-03-30,85000000,64935167,173613482,88613482,104.25115529411764
386,The Impossible,161300000,2012-12-21,40000000,19019882,169590606,129590606,323.976515
387,The Dictator,119700000,2012-05-16,65000000,59650222,180148897,115148897,177.15214923076923
388,Looper,110000000,2012-09-28,30000000,66486205,170466405,140466405,468.22135
389,Magic Mike,53500000,2012-06-29,7000000,113721571,170549753,163549753,2336.4250428571427
390,Flight,68000000,2012-11-02,31000000,93772375,160558438,129558438,417.9304451612904
391,This Means War,101700000,2012-02-17,65000000,54760791,156974557,91974557,141.49931846153848
392,Paranormal Activity 4,88900000,2012-10-19,5000000,53900335,142817992,137817992,2756.35984
393,Step Up Revolution,105400000,2012-07-27,33000000,35074677,165552290,132552290,401.67360606060606
394,The Best Exotic Marigold Hotel,90400000,2012-05-04,10000000,46383639,134639780,124639780,1246.3978
395,Zero Dark Thirty,37100000,2012-12-19,52500000,95720716,134612435,82112435,156.4046380952381
396,Ghost Rider: Spirit of Vengeance,80800000,2012-02-17,57000000,51774002,149217355,92217355,161.78483333333332
397,Cloud Atlas,103400000,2012-10-26,102000000,27108272,130673154,28673154,28.110935294117645
398,The Woman in Black,73400000,2012-02-03,15000000,54333290,128955898,113955898,759.7059866666667
399,The Pirates! Band of Misfits,92000000,2012-04-27,55000000,31051126,136143605,81143605,147.53382727272728
400,Parental Guidance,42500000,2012-12-25,25000000,77267296,120832383,95832383,383.329532
401,Abraham Lincoln: Vampire Hunter,79000000,2012-06-22,67500000,37519139,137489730,69989730,103.68848888888888
402,Pitch Perfect,50300000,2012-09-28,17000000,65001093,116044347,99044347,582.613805882353
403,Hope Springs,50700000,2012-08-08,30000000,63536011,133085295,103085295,343.61765
404,ParaNorman,51100000,2012-08-17,60000000,56003051,108119662,48119662,80.19943666666667
405,The Campaign,18000000,2012-08-10,95000000,86907746,104907746,9907746,10.429206315789475
406,Project X,48000000,2012-03-02,12000000,54731865,103028188,91028188,758.5682333333334
407,The Devil Inside,48500000,2012-01-06,1000000,53262945,101759490,100759490,10075.949
408,The Lucky One,38900000,2012-04-20,25000000,60457138,96633833,71633833,286.535332
409,Contraband,29700000,2012-01-13,25000000,66528000,98406855,73406855,293.62742000000003
410,Think Like a Man,4500000,2012-04-20,12000000,91547205,113373764,101373764,844.7813666666667
411,The Possession,36300000,2012-08-31,14000000,49130588,82925064,68925064,492.32188571428577
412,What to Expect When You're Expecting,43200000,2012-05-18,37500000,41152203,88473016,50973016,135.92804266666667
413,Frankenweenie,46200000,2012-10-05,39000000,35287788,81150788,42150788,108.07894358974359
414,Act of Valor,11300000,2012-02-24,12000000,70012847,82497035,70497035,587.4752916666667
415,Sinister,29600000,2012-10-12,3000000,48086903,87727807,84727807,2824.2602333333334
416,The Grey,25700000,2012-01-27,25000000,51580136,81249176,56249176,224.996704
417,Diary of a Wimpy Kid: Dog Days,28100000,2012-08-03,22000000,49008662,77229695,55229695,251.0440681818182
418,To Rome with Love,56600000,2012-06-22,21500000,16684352,74326015,52826015,245.70239534883723
419,Here Comes the Boom,27800000,2012-10-12,42000000,45290318,73239258,31239258,74.37918571428571
420,Anna Karenina,56100000,2012-11-16,49000000,12816367,71004627,22004627,44.90740204081632
421,The Watch,32900000,2012-07-27,55000000,34353000,67130045,12130045,22.054627272727274
422,Moonrise Kingdom,22800000,2012-05-25,16000000,45512466,68848446,52848446,330.3027875
423,Tyler Perry's Madea's Witness Protection,1200000,2012-06-29,20000000,65653242,66950887,46950887,234.75443500000003
424,The Cabin in the Woods,24400000,2012-04-13,30000000,42073277,70689968,40689968,135.63322666666667
425,Rock of Ages,20900000,2012-06-15,70000000,38518613,61031932,-8968068,-12.811525714285715
426,That's My Boy,20800000,2012-06-15,57500000,36931089,58085235,585235,1.0178
427,The Odd Life of Timothy Green,4200000,2012-08-15,40000000,51853450,55249159,15249159,38.1228975
428,The Three Stooges,10500000,2012-04-13,30000000,44338224,54052249,24052249,80.17416333333334
429,The Five-Year Engagement,25100000,2012-04-27,30000000,28700285,61623819,31623819,105.41273
430,Lawless,16300000,2012-08-29,26000000,37397291,54393687,28393687,109.20648846153847
431,Silent Hill: Revelation 3D,34800000,2012-10-26,20000000,17530219,55975672,35975672,179.87836
432,Red Tails,489000,2012-01-20,58000000,49876377,50365498,-7634502,-13.16293448275862
433,Trouble with the Curve,13200000,2012-09-21,60000000,35763137,47818913,-12181087,-20.301811666666666
434,End of Watch,7100000,2012-09-21,15000000,41003371,57586606,42586606,283.91070666666667
435,Man on a Ledge,27600000,2012-01-27,42000000,18620000,49621440,7621440,18.146285714285714
436,The Guilt Trip,4700000,2012-12-19,40000000,37134215,41294674,1294674,3.2366850000000005
437,Killing Them Softly,22900000,2012-11-30,15000000,14945541,39238443,24238443,161.58962
438,Chernobyl Diaries,19000000,2012-05-25,1000000,18119640,42411721,41411721,4141.1721
439,Dredd,22200000,2012-09-21,45000000,13414714,41467606,-3532394,-7.849764444444444
440,Tyler Perry's Good Deeds,553000,2012-02-24,14000000,35025791,35579177,21579177,154.13697857142856
441,Arbitrage,27600000,2012-09-14,12000000,7919574,35830713,23830713,198.58927500000001
442,Alex Cross,8700000,2012-10-19,35000000,25888412,35426759,426759,1.2193114285714286
443,The Perks of Being a Wallflower,15600000,2012-09-21,13000000,17742948,33069303,20069303,154.37925384615386
444,Haywire,14400000,2012-01-20,23000000,18942396,36374700,13374700,58.15086956521739
445,Katy Perry: Part of Me,7400000,2012-07-05,12000000,25326071,32700439,20700439,172.50365833333333
446,Lockout,17900000,2012-04-13,20000000,14326865,33943049,13943049,69.71524500000001
447,Joyful Noise,226000,2012-01-13,27500000,30932113,31157914,3657914,13.301505454545454
448,Premium Rush,10800000,2012-08-24,35000000,20275446,31393201,-3606799,-10.30514
449,The Raven,13600000,2012-04-27,26000000,16008272,30601801,4601801,17.699234615384615
450,The Master,11900000,2012-09-14,37500000,16247159,50647416,13147416,35.059776
451,Big Miracle,4600000,2012-02-03,40000000,20157300,25268680,-14731320,-36.828300000000006
452,A Thousand Words,3600000,2012-03-09,40000000,18450127,20790486,-19209514,-48.023785000000004
453,Wanderlust,4200000,2012-02-24,32500000,17288155,24159934,-8340066,-25.66174153846154
454,Beasts of the Southern Wild,8300000,2012-06-27,1800000,12795746,23265132,21465132,1192.5073333333335
455,Polisse,20200000,2012-05-18,8900000,176988,22744132,13844132,155.55204494382022
456,Amour,13100000,2012-12-19,9700000,6738954,36787044,27087044,279.24787628865977
457,The Man with the Iron Fists,4099999,2012-11-02,15000000,15634090,22018988,7018988,46.79325333333333
458,Seven Psychopaths,4400000,2012-10-12,13500000,15024049,33035736,19535736,144.70915555555555
459,The Cold Light of Day,13100000,2012-09-07,20000000,3763583,25361206,5361206,26.806029999999996
460,The Words,1700000,2012-09-07,6000000,11494838,16369708,10369708,172.82846666666666
461,Playing for Keeps,0,1986-10-03,35000000,2000000,2000000,-33000000,-94.28571428571428
462,Silent House,347000,2012-03-09,2000000,12739737,16610760,14610760,730.538
463,People Like Us,0,2012-06-29,16000000,12431792,12617472,-3382528,-21.140800000000002
464,Bachelorette,11500000,2012-09-07,3000000,446770,12577401,9577401,319.24670000000003
465,Fun Size,2000000,2012-10-26,14000000,9409538,11166615,-2833385,-20.238464285714286
466,Seeking a Friend for the End of the World,2600000,2012-06-22,10000000,7078738,11766959,1766959,17.66959
467,The Apparition,4700000,2012-08-24,17000000,4936819,10637281,-6362719,-37.42775882352941
468,Bernie,0,2012-04-27,6000000,9204489,10106975,4106975,68.44958333333334
469,The Sessions,3100000,2012-10-19,1000000,6002451,11495204,10495204,1049.5203999999999
470,On the Road,8000000,2013-03-22,25000000,720828,9313302,-15686698,-62.746792
471,The Collection,0,2012-11-30,10000000,6810754,8890094,-1109906,-11.09906
472,Chasing Mavericks,600,2012-10-26,20000000,6002756,8300821,-11699179,-58.495895
473,Albert Nobbs,2600000,2011-12-21,7500000,3014696,8539003,1039003,13.853373333333332
474,Won't Back Down,0,2012-09-28,19000000,5310554,5745503,-13254497,-69.76051052631578
475,"Jeff, Who Lives at Home",148000,2012-03-16,10000000,4269426,4708127,-5291873,-52.918730000000004
476,Safety Not Guaranteed,0,2012-06-08,750000,4010957,4422318,3672318,489.64239999999995
477,Killer Joe,1700000,2012-07-27,10000000,1291645,4659110,-5340890,-53.4089
478,Robot & Frank,0,2012-08-17,2500000,3317468,4934356,2434356,97.37424
479,Celeste and Jesse Forever,0,2012-08-03,840000,3103407,3787689,2947689,350.91535714285715
480,Jab Tak Hai Jaan,0,2012-11-13,9200000,3047539,5806666,-3393334,-36.8840652173913
481,Samsara,0,2012-08-24,4000000,2672413,5966671,1966671,49.166775
482,Your Sister's Sister,0,2012-06-15,120000,1597486,3090593,2970593,2475.494166666667
483,The Paperboy,661000,2012-10-05,12500000,677200,4027663,-8472337,-67.77869600000001
484,A Little Bit of Heaven,1300000,2012-05-04,12500000,10011,1100287,-11399713,-91.197704
485,Coriolanus,315000,2012-01-20,10000000,749641,2179623,-7820377,-78.20376999999999
486,Damsels in Distress,0,2012-04-06,3000000,1007535,1324299,-1675701,-55.856700000000004
487,Darling Companion,0,2012-04-20,12000000,793352,1200346,-10799654,-89.99711666666667
488,Holy Motors,0,2012-10-17,4000000,641054,4230426,230426,5.76065
489,Sound of My Voice,0,2012-04-27,135000,408015,429448,294448,218.1096296296296
490,Khiladi 786,0,2012-12-07,5600000,385422,14683763,9083763,162.21005357142857
491,Compliance,0,2012-08-17,270000,319285,830700,560700,207.66666666666666
492,Kill List,143000,2012-02-03,800000,29063,462206,-337794,-42.224250000000005
493,High School,0,2012-06-01,10000000,139034,248133,-9751867,-97.51867
494,The Innkeepers,0,2012-02-03,750000,78396,1011535,261535,34.87133333333333
495,The First Time,0,2012-10-19,2000000,17061,17061,-1982939,-99.14695
496,Frozen,875700000,2013-11-22,150000000,400738009,1272469910,1122469910,748.3132733333333
497,Iron Man 3,805800000,2013-05-03,200000000,408992272,1215392272,1015392272,507.696136
498,Despicable Me 2,602700000,2013-07-03,76000000,368065385,975216835,899216835,1183.1800460526315
499,The Hobbit: The Desolation of Smaug,700000000,2013-12-13,250000000,258366855,960366855,710366855,284.14674199999996
500,The Hunger Games: Catching Fire,440300000,2013-11-22,130000000,424668047,864868047,734868047,565.2831130769231
501,Monsters University,475700000,2013-06-21,200000000,268488329,743588329,543588329,271.79416449999997
502,Gravity,449100000,2013-10-04,110000000,274092705,693698673,583698673,530.6351572727273
503,Man of Steel,377000000,2013-06-14,225000000,291045518,667999518,442999518,196.88867466666667
504,Thor: The Dark World,438200000,2013-11-08,150000000,206362140,644602516,494602516,329.7350106666667
505,The Croods,400000000,2013-03-22,135000000,187168425,573068425,438068425,324.4951296296296
506,World War Z,337600000,2013-06-21,190000000,202359711,531514650,341514650,179.74455263157896
507,Star Trek Into Darkness,238600000,2013-05-16,190000000,228778661,467381584,277381584,145.99030736842104
508,The Wolverine,282300000,2013-07-26,115000000,132556852,416456852,301456852,262.1363930434783
509,Pacific Rim,309200000,2013-07-12,190000000,101802906,411002906,221002906,116.31731894736843
510,The Wolf of Wall Street,275100000,2013-12-25,100000000,116900694,389870414,289870414,289.870414
511,G.I. Joe: Retaliation,253200000,2013-03-27,140000000,122523060,375740705,235740705,168.38621785714284
512,Now You See Me,234000000,2013-05-31,75000000,117723989,342769200,267769200,357.0256
513,The Smurfs 2,276500000,2013-07-31,110000000,71017784,348547523,238547523,216.86138454545457
514,The Conjuring,182100000,2013-07-19,20000000,137400141,318000141,298000141,1490.000705
515,A Good Day to Die Hard,237300000,2013-02-14,92000000,67349198,304249198,212249198,230.70565
516,Oblivion,197100000,2013-04-19,120000000,89107235,287916633,167916633,139.93052749999998
517,Elysium,193100000,2013-08-09,120000000,93050117,286192091,166192091,138.49340916666665
518,Turbo,199500000,2013-07-17,135000000,83028130,286896578,151896578,112.51598370370371
519,Cloudy with a Chance of Meatballs 2,154500000,2013-09-27,78000000,119793567,274392649,196392649,251.78544743589742
520,We're the Millers,119600000,2013-08-07,37000000,150394119,267816276,230816276,623.827772972973
521,Epic,160900000,2013-05-24,100000000,107518682,262794441,162794441,162.794441
522,The Lone Ranger,171200000,2013-07-02,275000000,89302115,260002115,-14997885,-5.453776363636364
523,American Hustle,101100000,2013-12-13,40000000,150117807,257878294,217878294,544.695735
524,Grown Ups 2,113300000,2013-07-12,80000000,133668525,247023808,167023808,208.77976
525,After Earth,183300000,2013-05-31,130000000,60522097,251499665,121499665,93.46128076923077
526,The Heat,70300000,2013-06-28,43000000,159581587,229727774,186727774,434.25063720930234
527,Captain Phillips,111700000,2013-10-11,55000000,107136417,220648184,165648184,301.1785163636364
528,White House Down,132300000,2013-06-28,150000000,73103784,205440387,55440387,36.960258
529,Percy Jackson: Sea of Monsters,131300000,2013-08-07,90000000,68559554,200859554,110859554,123.17728222222222
530,Jack the Giant Slayer,132500000,2013-03-01,195000000,65187603,197687603,2687603,1.3782579487179487
531,The Secret Life of Walter Mitty,129900000,2013-12-25,91000000,58236838,187861183,96861183,106.44086043956045
532,12 Years a Slave,131100000,2013-10-18,20000000,56671993,181025343,161025343,805.1267149999999
533,Lee Daniels' The Butler,60000000,2013-08-16,30000000,116632095,177025498,147025498,490.08499333333333
534,Identity Thief,39500000,2013-02-08,35000000,134506920,175361578,140361578,401.03308000000004
535,Anchorman 2: The Legend Continues,46300000,2013-12-18,50000000,127352707,172185754,122185754,244.371508
536,Olympus Has Fallen,71300000,2013-03-22,70000000,98927592,172878928,102878928,146.96989714285715
537,Insidious Chapter 2,78300000,2013-09-13,5000000,83586447,161921515,156921515,3138.4303
538,Lone Survivor,29700000,2013-12-25,40000000,125095601,149804632,109804632,274.51158000000004
539,Jackass Presents: Bad Grandpa,49800000,2013-10-25,15000000,102003019,160903019,145903019,972.6867933333333
540,47 Ronin,113400000,2013-12-25,175000000,38362475,151716815,-23283185,-13.304677142857143
541,Mama,74800000,2013-01-18,15000000,71628180,148095566,133095566,887.3037733333333
542,Escape Plan,112200000,2013-10-18,70000000,25135965,103735965,33735965,48.19423571428572
543,Last Vegas,70500000,2013-01-28,28000000,63914167,112914167,84914167,303.2648821428571
544,2 Guns,56300000,2013-08-02,61000000,75612460,132493015,71493015,117.20166393442624
545,Walking with Dinosaurs,90500000,2013-12-20,80000000,36076121,123368842,43368842,54.2110525
546,This is the End,24600000,2013-06-12,32000000,101470202,126539117,94539117,295.434740625
547,Ender's Game,63800000,2013-11-01,110000000,61737191,127983283,17983283,16.348439090909093
548,Prisoners,61100000,2013-09-20,46000000,61002302,113402302,67402302,146.52674347826087
549,Saving Mr. Banks,34600000,2013-12-13,35000000,83299761,114962525,79962525,228.46435714285715
550,Warm Bodies,50600000,2013-02-01,30000000,66380662,115121608,85121608,283.73869333333334
551,Free Birds,54600000,2013-11-01,55000000,55750480,110387072,55387072,100.70376727272728
552,Gangster Squad,59200000,2013-01-11,60000000,46000903,104100903,44100903,73.501505
553,Philomena,62400000,2013-11-22,12000000,37709979,98963392,86963392,724.6949333333333
554,Riddick,56300000,2013-09-06,38000000,42025135,94763758,56763758,149.37831052631577
555,Safe Haven,26200000,2013-02-14,28000000,71399120,94050951,66050951,235.8962535714286
556,Blue Jasmine,64099999,2013-07-26,18000000,33404871,102912961,84912961,471.7386722222222
557,The Mortal Instruments: City of Bones,64200000,2013-08-21,60000000,31165421,75965567,15965567,26.609278333333336
558,The Internship,48800000,2013-06-07,58000000,44672764,93672764,35672764,61.50476551724138
559,The Purge,24900000,2013-06-07,3000000,64473115,91266581,88266581,2942.2193666666667
560,Dhoom 3,80000000,2013-12-20,24000000,8031955,11723620,-12276380,-51.15158333333333
561,About Time,71800000,2013-11-01,12000000,15323921,89309178,77309178,644.24315
562,R.I.P.D.,44700000,2013-07-19,130000000,33618855,79076678,-50923322,-39.171786153846156
563,The Book Thief,55100000,2013-11-08,19000000,21488481,76086711,57086711,300.4563736842105
564,Escape From Planet Earth,17600000,2013-02-15,40000000,57012977,74156610,34156610,85.391525
565,August: Osage County,36500000,2013-12-25,25000000,37738810,50738810,25738810,102.95524
566,The Best Man Holiday,2300000,2013-11-15,17000000,70525195,72835710,55835710,328.44535294117645
567,The Counselor,54000000,2013-10-25,25000000,16973715,71009334,46009334,184.037336
568,The Call,16700000,2013-03-15,12800000,51872378,69821476,57021476,445.48028124999996
569,One Direction: This is Us,39700000,2013-08-30,10000000,28873374,68541786,58541786,585.41786
570,Runner Runner,43400000,2013-10-04,30000000,19316646,60512680,30512680,101.70893333333333
571,Kick-Ass 2,32000000,2013-08-16,28000000,28795985,63129909,35129909,125.46396071428572
572,A Haunted House,20100000,2013-01-11,2500000,40041683,59922558,57422558,2296.9023199999997
573,Quartet,41100000,2013-01-11,11000000,18388357,56178935,45178935,410.7175909090909
574,Dallas Buyers Club,27900000,2013-11-01,5000000,27298285,60611845,55611845,1112.2369
575,Tyler Perry's A Madea Christmas,853000,2013-12-13,25000000,52543354,52543354,27543354,110.17341599999999
576,Delivery Man,19300000,2013-11-22,22000000,30659817,70536870,48536870,220.62213636363634
577,The Last Stand,36300000,2013-01-18,30000000,12050299,48330757,18330757,61.10252333333334
578,21 and Over,22400000,2013-03-01,13000000,25682380,42195766,29195766,224.5828153846154
579,Texas Chainsaw 3D,12900000,2013-01-04,20000000,34341945,47666013,27666013,138.330065
580,The Big Wedding,24700000,2013-04-26,32500000,21819348,48425971,15925971,49.00298769230769
581,Parker,28600000,2013-01-25,35000000,17616641,48543388,13543388,38.695394285714286
582,The World's End,20100000,2013-08-23,20000000,26004851,47508505,27508505,137.54252499999998
583,Grudge Match,15100000,2013-12-25,40000000,29807260,69807260,29807260,74.51815
584,Homefront,22900000,2013-11-27,22000000,20158492,51695362,29695362,134.9789181818182
585,Snitch,0,2013-02-22,15000000,42930462,57907734,42907734,286.05156
587,Jobs,19800000,2013-08-16,18000000,16131410,43402515,25402515,141.12508333333332
588,The Place Beyond the Pines,14100000,2013-03-29,15000000,21403519,47011449,32011449,213.40966
589,Inside Llewyn Davis,19700000,2013-12-06,11000000,13248209,32943247,21943247,199.48406363636363
590,Mud,11000000,2013-04-26,10000000,21590086,31556959,21556959,215.56959
591,Movie 43,23600000,2013-01-25,10000000,8840453,31164747,21164747,211.64747
592,Kevin Hart: Let Me Explain,74000,2013-07-03,2500000,32244051,32327255,29827255,1193.0901999999999
593,Spring Breakers,17600000,2013-03-15,5000000,14124286,31149251,26149251,522.98502
594,Don Jon,6000000,2013-09-27,5500000,24477704,41268579,35768579,650.3378
595,Nebraska,10000000,2013-11-15,12000000,17654912,24761360,12761360,106.34466666666667
596,The Incredible Burt Wonderstone,4900000,2013-03-15,32000000,22537881,27392609,-4607391,-14.398096875
597,Mandela: Long Walk to Freedom,19000000,2013-11-29,35000000,8323085,29890402,-5109598,-14.59885142857143
598,Khumba,27200000,2013-12-06,15000000,0,20898221,5898221,39.32147333333334
599,Dark Skies,9000000,2013-02-22,3500000,17418667,27704111,24204111,691.5460285714286
600,Enough Said,7700000,2013-09-18,8000000,17550872,25621449,17621449,220.26811249999997
601,Trance,21900000,2013-04-05,16000000,2322593,22594052,6594052,41.212824999999995
603,Baggage Claim,887000,2013-09-27,8500000,21569509,22885836,14385836,169.2451294117647
604,The Sapphires,18000000,2013-03-22,9000000,2450867,20395040,11395040,126.61155555555557
605,Broken City,0,2013-01-18,35000000,19701164,34480045,-519955,-1.4855857142857143
606,You're Next,0,2013-08-23,1000000,18494006,26887177,25887177,2588.7177
607,Dead Man Down,7200000,2013-03-08,30000000,10895295,19599974,-10400026,-34.66675333333333
608,Admission,0,2013-03-22,13000000,18007317,18733666,5733666,44.10512307692308
609,Fruitvale Station,1300000,2013-07-12,900000,16098998,17549645,16649645,1849.9605555555554
610,Battle of the Year,7700000,2013-09-20,20000000,8888355,16723377,-3276623,-16.383115
611,Out of the Furnace,4300000,2013-12-04,22000000,11330849,15434375,-6565625,-29.843750000000004
612,The Last Exorcism Part II,0,2013-03-01,4000000,15179303,25448707,21448707,536.217675
613,Machete Kills,7000000,2013-10-11,20000000,8008161,18273009,-1726991,-8.634955
614,Paranoia,6400000,2013-08-16,40000000,7388654,16340767,-23659233,-59.1480825
615,Stoker,10400000,2013-03-01,12000000,1703125,12034913,34913,0.29094166666666665
616,Before Midnight,3100000,2013-05-24,3000000,8110621,23251930,20251930,675.0643333333334
617,Only God Forgives,9900000,2013-07-19,4800000,775849,4494560,-305440,-6.363333333333333
618,Bullet to the Head,0,2013-02-01,55000000,9489829,22597969,-32402031,-58.91278363636364
619,The Fifth Estate,5300000,2013-10-18,26000000,3254172,6154172,-19845828,-76.33010769230769
620,Upside Down,8000000,2013-03-15,50000000,102118,26387039,-23612961,-47.225922
621,Metallica Through the Never,4600000,2013-09-27,18000000,3419967,9082906,-8917094,-49.53941111111111
622,Black Nativity,436000,2013-11-27,17500000,7018188,7285135,-10214865,-58.37065714285714
623,The Spectacular Now,0,2013-08-02,2500000,6852971,6916951,4416951,176.67804
624,The Sweeney,6300000,2013-03-01,4500000,26345,8000366,3500366,77.7859111111111
625,Believe,0,2016-12-02,3500000,890303,890303,-2609697,-74.56277142857142
626,Frances Ha,0,2013-05-17,3000000,4067398,11262769,8262769,275.42563333333334
627,Yeh Jawaani Hai Deewani,0,2013-05-31,8300000,3827466,50827466,42527466,512.3791084337349
628,Mr. Nobody,3500000,2013-11-01,46500000,3622,22254,-46477746,-99.95214193548388
629,The East,99700,2013-05-31,6500000,2274649,3027956,-3472044,-53.416061538461534
630,The Christmas Candle,0,2013-11-15,7000000,1632000,1933829,-5066171,-72.37387142857142
631,All the Boys Love Mandy Lane,1900000,2013-10-11,750000,0,1960521,1210521,161.4028
