,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
73,Hot Tub Time Machine,14300000,2010-03-26,36000000,50269859,65967750,29967750,83.24375
74,Devil,29100000,2010-09-17,10000000,33679655,63354114,53354114,533.54114
75,127 Hours,42400000,2010-11-05,18000000,18335230,60217171,42217171,234.5398388888889
76,Secretariat,537000,2010-10-08,35000000,59699513,60376247,25376247,72.50356285714285
77,The Ghost Writer,44700000,2010-02-19,45000000,15541549,65532491,20532491,45.62775777777778
78,Morning Glory,29000000,2010-11-10,40000000,31011732,59795070,19795070,49.487674999999996
79,Remember Me,37000000,2010-03-12,16000000,19068240,56506120,40506120,253.16325
80,Cop Out,10700000,2010-02-26,37000000,44875481,55909910,18909910,51.10786486486486
81,The Crazies,15700000,2010-02-26,19000000,39123589,56445534,37445534,197.08175789473685
82,Daybreakers,21300000,2010-01-08,20000000,30101577,51445503,31445503,157.227515
83,The Switch,22100000,2010-08-20,19000000,27758465,49858465,30858465,162.41297368421053
84,She's Out of My League,17800000,2010-03-12,20000000,32010860,48680977,28680977,143.40488499999998
85,Charlie St. Cloud,17000000,2010-07-30,44000000,31206263,48478084,4478084,10.177463636363635
86,The Spy Next Door,20900000,2010-01-15,28000000,24307106,46752858,18752858,66.97449285714285
87,Machete,17500000,2010-09-03,12500000,26593646,46370970,33870970,270.96776
88,My Name is Khan,38300000,2010-02-12,8470000,4046336,42355526,33885526,400.0652420306966
89,Going the Distance,24200000,2010-09-03,32000000,17804299,43603990,11603990,36.26246875
90,Agora,38400000,2010-05-28,70000000,619423,38992292,-31007708,-44.296725714285714
91,For Colored Girls,17300,2010-11-05,21000000,37729698,38017873,17017873,81.03749047619047
92,Brooklyn's Finest,9300000,2010-03-05,17000000,27163593,39233233,22233233,130.78372352941176
93,Furry Vengeance,18600000,2010-04-30,35000000,17630465,39340177,4340177,12.400505714285714
94,Faster,12400000,2010-11-24,24000000,23240020,35792945,11792945,49.13727083333333
95,The Kids Are All Right,13900000,2010-07-09,4000000,20811365,36275469,32275469,806.8867250000001
96,You Will Meet a Tall Dark Stranger,31000000,2010-09-22,15000000,3247816,34247816,19247816,128.31877333333333
97,Leap Year,6700000,2010-01-08,19000000,25918920,32618920,13618920,71.67852631578947
98,You Again,6300000,2010-09-24,20000000,25702053,32838945,12838945,64.19472499999999
99,The Losers,5800000,2010-04-23,25000000,23591432,29863840,4863840,19.45536
100,Case 39,14900000,2010-10-01,27000000,13261851,28773827,1773827,6.56972962962963
101,Ramona and Beezus,1100000,2010-07-23,15000000,26167002,27469621,12469621,83.13080666666667
102,Splice,9800000,2010-06-04,30000000,17010170,28542494,-1457506,-4.8583533333333335
103,Let Me In,12000000,2010-10-01,20000000,12134935,28270399,8270399,41.351995
104,Mao's Last Dancer,17500000,2010-08-20,18000000,4806750,25941437,7941437,44.11909444444444
105,Just Wright,29900,2010-05-14,12000000,21540363,21867665,9867665,82.23054166666667
106,Our Family Wedding,1200000,2010-03-12,14000000,20255281,21410546,7410546,52.932471428571425
107,My Soul to Take,6200000,2010-10-08,25000000,14744435,16727470,-8272530,-33.09012
108,"I Love You, Phillip Morris",18700000,2010-12-03,13000000,2037459,23014027,10014027,77.03097692307692
109,Country Strong,310000,2010-12-22,15000000,20218921,20601987,5601987,37.34658
110,Another Year,16500000,2010-12-29,8000000,3205706,20005613,12005613,150.0701625
111,Youth in Revolt,4400000,2010-01-08,18000000,15285588,19685588,1685588,9.36437777777778
112,Buried,18100000,2010-09-24,1987650,1044143,21270290,19282640,970.1225064774986
113,[Rec] 2,18500000,2010-07-09,5600000,27766,18527766,12927766,230.85296428571428
114,Repo Men,4600000,2010-03-19,32000000,13942007,18195238,-13804762,-43.13988125
115,Soul Kitchen,17600000,2010-08-20,4900000,276901,23347461,18447461,376.4787959183673
116,Micmacs,15100000,2010-05-28,42000000,1259693,11756922,-30243078,-72.00732857142857
117,The Nutcracker in 3D,16000000,2010-11-24,90000000,195459,20466016,-69533984,-77.25998222222222
118,Sea Rex 3D: Journey to a Prehistoric World,9900000,2010-05-28,5000000,6096582,16515203,11515203,230.30406000000002
119,Extraordinary Measures,3100000,2010-01-22,31000000,12482741,15826984,-15173016,-48.9452129032258
120,Somewhere,12200000,2010-12-22,7000000,1785645,17023121,10023121,143.18744285714286
121,Winter's Bone,7300000,2010-06-11,2000000,6531503,16131551,14131551,706.57755
