,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI
71,50100000.0,55000000.0,35552675.0,Burlesque,39440655.0,90552675.0,64.64122727272728
72,26100000.0,20000000.0,72678948.0,The Last Song,62950384.0,92678948.0,363.39473999999996
73,13800000.0,69000000.0,17796502.0,Dinner for Schmucks,73026337.0,86796502.0,25.79203188405797
74,50100000.0,50000000.0,39895930.0,Marmaduke,33644788.0,89895930.0,79.79186
75,58200000.0,24000000.0,59660160.0,Piranha 3D,25003155.0,83660160.0,248.584
76,63200000.0,80000000.0,6787530.0,Oceans,19422319.0,86787530.0,8.484412500000001
77,37800000.0,60000000.0,22812456.0,Edge of Darkness,43313890.0,82812456.0,38.020759999999996
78,43900000.0,20000000.0,61424988.0,Vampires Suck,36661504.0,81424988.0,307.12494000000004
79,26100000.0,30000000.0,52148538.0,Letters to Juliet,53032453.0,82148538.0,173.82846
82,11700000.0,15000000.0,61954311.0,Diary of a Wimpy Kid,64003625.0,76954311.0,413.02874
83,16600000.0,8000000.0,68200721.0,Easy A,58401464.0,76200721.0,852.5090125
85,11300000.0,32000000.0,38587268.0,Takers,57744720.0,70587268.0,120.58521250000001
88,32299999.0,20000000.0,47950723.0,The American,35606376.0,67950723.0,239.753615
89,26700000.0,1800000.0,68365900.0,The Last Exorcism,41034350.0,70165900.0,3798.105555555556
90,46300000.0,30000000.0,37255916.0,The Next Three Days,21148651.0,67255916.0,124.18638666666666
92,45400000.0,10000000.0,58264973.0,Skyline,21416355.0,68264973.0,582.64973
93,14300000.0,36000000.0,29967750.0,Hot Tub Time Machine,50269859.0,65967750.0,83.24375
94,29100000.0,10000000.0,53354114.0,Devil,33679655.0,63354114.0,533.54114
95,42400000.0,18000000.0,42217171.0,127 Hours,18335230.0,60217171.0,234.5398388888889
97,537000.0,35000000.0,25376247.0,Secretariat,59699513.0,60376247.0,72.50356285714285
98,44700000.0,45000000.0,20532491.0,The Ghost Writer,15541549.0,65532491.0,45.62775777777778
99,29000000.0,40000000.0,19795070.0,Morning Glory,31011732.0,59795070.0,49.487674999999996
100,37000000.0,16000000.0,40506120.0,Remember Me,19068240.0,56506120.0,253.16325
101,10700000.0,37000000.0,18909910.0,Cop Out,44875481.0,55909910.0,51.10786486486486
102,15700000.0,19000000.0,37445534.0,The Crazies,39123589.0,56445534.0,197.08175789473685
104,21300000.0,20000000.0,31445503.0,Daybreakers,30101577.0,51445503.0,157.227515
106,22100000.0,19000000.0,30858465.0,The Switch,27758465.0,49858465.0,162.41297368421053
107,17800000.0,20000000.0,28680977.0,She's Out of My League,32010860.0,48680977.0,143.40488499999998
110,17000000.0,44000000.0,4478084.0,Charlie St. Cloud,31206263.0,48478084.0,10.177463636363635
113,20900000.0,28000000.0,18752858.0,The Spy Next Door,24307106.0,46752858.0,66.97449285714285
115,17500000.0,12500000.0,33870970.0,Machete,26593646.0,46370970.0,270.96776
119,38300000.0,8470000.0,33885526.0,My Name is Khan,4046336.0,42355526.0,400.0652420306966
120,24200000.0,32000000.0,11603990.0,Going the Distance,17804299.0,43603990.0,36.26246875
122,38400000.0,70000000.0,-31007708.0,Agora,619423.0,38992292.0,-44.296725714285714
123,17300.0,21000000.0,17017873.0,For Colored Girls,37729698.0,38017873.0,81.03749047619047
124,9300000.0,17000000.0,22233233.0,Brooklyn's Finest,27163593.0,39233233.0,130.78372352941176
125,18600000.0,35000000.0,4340177.0,Furry Vengeance,17630465.0,39340177.0,12.400505714285714
126,12400000.0,24000000.0,11792945.0,Faster,23240020.0,35792945.0,49.13727083333333
127,13900000.0,4000000.0,32275469.0,The Kids Are All Right,20811365.0,36275469.0,806.8867250000001
128,31000000.0,15000000.0,19247816.0,You Will Meet a Tall Dark Stranger,3247816.0,34247816.0,128.31877333333333
131,6700000.0,19000000.0,13618920.0,Leap Year,25918920.0,32618920.0,71.67852631578947
132,6300000.0,20000000.0,12838945.0,You Again,25702053.0,32838945.0,64.19472499999999
134,5800000.0,25000000.0,4863840.0,The Losers,23591432.0,29863840.0,19.45536
135,14900000.0,27000000.0,1773827.0,Case 39,13261851.0,28773827.0,6.56972962962963
136,1100000.0,15000000.0,12469621.0,Ramona and Beezus,26167002.0,27469621.0,83.13080666666667
137,9800000.0,30000000.0,-1457506.0,Splice,17010170.0,28542494.0,-4.8583533333333335
139,12000000.0,20000000.0,8270399.0,Let Me In,12134935.0,28270399.0,41.351995
140,17500000.0,18000000.0,7941437.0,Mao's Last Dancer,4806750.0,25941437.0,44.11909444444444
141,29900.0,12000000.0,9867665.0,Just Wright,21540363.0,21867665.0,82.23054166666667
142,1200000.0,14000000.0,7410546.0,Our Family Wedding,20255281.0,21410546.0,52.932471428571425
143,6200000.0,25000000.0,-8272530.0,My Soul to Take,14744435.0,16727470.0,-33.09012
145,18700000.0,13000000.0,10014027.0,"I Love You, Phillip Morris",2037459.0,23014027.0,77.03097692307692
146,310000.0,15000000.0,5601987.0,Country Strong,20218921.0,20601987.0,37.34658
147,16500000.0,8000000.0,12005613.0,Another Year,3205706.0,20005613.0,150.0701625
148,4400000.0,18000000.0,1685588.0,Youth in Revolt,15285588.0,19685588.0,9.36437777777778
149,18100000.0,1987650.0,19282640.0,Buried,1044143.0,21270290.0,970.1225064774986
150,18500000.0,5600000.0,12927766.0,[Rec] 2,27766.0,18527766.0,230.85296428571428
151,4600000.0,32000000.0,-13804762.0,Repo Men,13942007.0,18195238.0,-43.13988125
153,17600000.0,4900000.0,18447461.0,Soul Kitchen,276901.0,23347461.0,376.4787959183673
155,15100000.0,42000000.0,-30243078.0,Micmacs,1259693.0,11756922.0,-72.00732857142857
156,16000000.0,90000000.0,-69533984.0,The Nutcracker in 3D,195459.0,20466016.0,-77.25998222222222
157,9900000.0,5000000.0,11515203.0,Sea Rex 3D: Journey to a Prehistoric World,6096582.0,16515203.0,230.30406000000002
159,3100000.0,31000000.0,-15173016.0,Extraordinary Measures,12482741.0,15826984.0,-48.9452129032258
160,12200000.0,7000000.0,10023121.0,Somewhere,1785645.0,17023121.0,143.18744285714286
161,7300000.0,2000000.0,14131551.0,Winter's Bone,6531503.0,16131551.0,706.57755
162,6900000.0,18000000.0,-2303854.0,The Last Station,6617867.0,15696146.0,-12.799188888888887
164,11300000.0,8000000.0,7644196.0,Made in Dagenham,1095369.0,15644196.0,95.55245
165,2600000.0,1000000.0,15566240.0,Blue Valentine,9737892.0,16566240.0,1556.624
167,8600000.0,13000000.0,-1168869.0,Chloe,3075255.0,11831131.0,-8.9913
169,5400000.0,42000000.0,-33485675.0,The Warrior's Way,5666340.0,8514325.0,-79.72779761904762
171,356000.0,47000000.0,-35977304.0,Jonah Hex,10547117.0,11022696.0,-76.54745531914894
172,8500000.0,7300000.0,4723606.0,Harry Brown,1818681.0,12023606.0,64.70693150684932
173,2500000.0,7000000.0,3062896.0,Cyrus,7468936.0,10062896.0,43.75565714285714
174,2900000.0,12500000.0,-673020.0,Conviction,6797696.0,11826980.0,-5.3841600000000005
175,518000.0,7000000.0,3828305.0,Get Low,9176933.0,10828305.0,54.69007142857143
177,7700000.0,22000000.0,-17934980.0,Stone,1810078.0,4065020.0,-81.52263636363635
179,7000000.0,15000000.0,-3826282.0,Never Let Me Go,2434652.0,11173718.0,-25.508546666666664
181,797000.0,10000000.0,-1370105.0,MacGruber,8525600.0,8629895.0,-13.70105
182,1200000.0,6000000.0,2173486.0,City Island,6671283.0,8173486.0,36.22476666666667
183,3600000.0,2000000.0,5799257.0,Inside Job,4311834.0,7799257.0,289.96285
184,5500000.0,10000000.0,-6458435.0,The Joneses,1475746.0,3541565.0,-64.58435
185,6700000.0,15000000.0,-7114952.0,Centurion,123570.0,7885048.0,-47.433013333333335
186,5700000.0,4200000.0,3878683.0,Animal Kingdom,1044039.0,8078683.0,92.34959523809523
187,5100000.0,1900000.0,5885229.0,Nowhere Boy,1445366.0,7785229.0,309.7488947368421
188,128000.0,8000000.0,-1367050.0,It's Kind of a Funny Story,6363628.0,6632950.0,-17.088125
196,818000.0,12500000.0,-8139452.0,Solitary Man,4360548.0,4360548.0,-65.115616
197,2900000.0,5000000.0,1205034.0,Rabbit Hole,2229058.0,6205034.0,24.10068
